model,N,K,M,m_tile,step,step_name,protocol,latency_us_p50,latency_us_p30,bandwidth_gbps,pct_of_spec_peak,clocks_sm_mhz,rel_l2,pass,config,pdl_trigger
glm52,6144,16384,2,8,4,tile_stage,PDL,31.6480,31.6403,3182.528,0.795632,1830,1.679704e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
glm52,6144,16384,2,8,4,tile_stage,PDL,31.7677,31.6493,3170.538,0.792635,1830,1.679704e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
glm52,6144,16384,2,8,4,tile_stage,PDL,31.6646,31.5885,3180.855,0.795214,1830,1.679704e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
glm52,6144,16384,4,8,4,tile_stage,PDL,31.8707,31.8547,3162.087,0.790522,1830,1.666145e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
glm52,6144,16384,4,8,4,tile_stage,PDL,31.7965,31.7779,3169.470,0.792367,1830,1.666145e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
glm52,6144,16384,4,8,4,tile_stage,PDL,31.9552,31.9277,3153.727,0.788432,1830,1.666145e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
glm52,6144,16384,8,8,4,tile_stage,PDL,32.2861,32.0736,3124.959,0.781240,1830,1.665705e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
glm52,6144,16384,8,8,4,tile_stage,PDL,32.1126,32.0634,3141.837,0.785459,1830,1.665705e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
glm52,6144,16384,8,8,4,tile_stage,PDL,32.2464,32.1933,3128.804,0.782201,1830,1.665705e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
deepseek_v4_pro,7168,16384,1,8,4,tile_stage,PDL,35.3875,35.3306,3319.567,0.829892,1830,1.682975e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
