model,N,K,M,m_tile,step,step_name,protocol,latency_us_p50,latency_us_p30,bandwidth_gbps,pct_of_spec_peak,clocks_sm_mhz,rel_l2,pass,config
deepseek_v4_pro,7168,16384,32,32,1,pdl,PDL,85.4739,85.4618,1385.493,0.346373,1830,1.670198e-03,1,M_TILE=32;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,64,64,1,pdl,B2B,200.6566,200.3258,595.079,0.148770,1830,1.670279e-03,1,M_TILE=64;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,64,64,1,pdl,ISO,206.1760,205.2480,579.149,0.144787,1830,1.670279e-03,1,M_TILE=64;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,64,64,1,pdl,PDL,189.2589,189.0304,630.917,0.157729,1830,1.670279e-03,1,M_TILE=64;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,128,128,1,pdl,B2B,349.0150,348.5254,347.758,0.086939,1830,1.668760e-03,1,M_TILE=128;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,128,128,1,pdl,ISO,355.0400,352.9920,341.856,0.085464,1830,1.668760e-03,1,M_TILE=128;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,128,128,1,pdl,PDL,341.5520,341.5008,355.356,0.088839,1830,1.668760e-03,1,M_TILE=128;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,1,8,2,blockk,B2B,40.3578,40.3098,2910.747,0.727687,1830,1.682975e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,1,8,2,blockk,ISO,50.8160,50.3680,2311.698,0.577924,1830,1.682975e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,1,8,2,blockk,PDL,36.6835,36.6643,3202.289,0.800572,1830,1.682975e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,2,8,2,blockk,B2B,41.9718,41.8765,2799.542,0.699886,1830,1.681628e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
