model,N,K,M,dtype,protocol,latency_us_p50,bandwidth_gbps,pct_of_spec_peak,algo_desc,clocks_sm_mhz
qwen36,2048,4096,128,fp8,B2B,12.8644,733.592,0.183398,algo_id=66;tile=56x64(104);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=0;inner=UNDEFINED(0);cluster=2x1x1(3);ws=0B;waves=0.95;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,128,fp8,ISO,19.2640,489.887,0.122472,algo_id=66;tile=56x64(104);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=0;inner=UNDEFINED(0);cluster=2x1x1(3);ws=0B;waves=0.95;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,128,bf16,B2B,22.6421,833.595,0.208399,algo_id=66;tile=64x64(15);stages=64xAUTO(35);splitk=1;red=NONE;cta_swz=0;custom=3;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=0.82;heur=8;rank=2;searched=8;fast_accum=0,1830
qwen36,2048,4096,128,bf16,ISO,28.9280,652.460,0.163115,algo_id=66;tile=64x64(15);stages=64xAUTO(35);splitk=1;red=NONE;cta_swz=0;custom=3;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=0.82;heur=8;rank=2;searched=8;fast_accum=0,1830
glm52,6144,16384,1,fp8,B2B,35.9111,2803.922,0.700981,algo_id=66;tile=320x8(514);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=73744B;waves=0.26;heur=8;rank=8;searched=8;fast_accum=0,1830
glm52,6144,16384,1,fp8,ISO,50.3360,2000.397,0.500099,algo_id=66;tile=320x8(514);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=73744B;waves=0.26;heur=8;rank=8;searched=8;fast_accum=0,1830
glm52,6144,16384,1,bf16,B2B,61.9666,3249.880,0.812470,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=98324B;waves=1.23;heur=8;rank=1;searched=8;fast_accum=0,1830
glm52,6144,16384,1,bf16,ISO,78.6880,2559.271,0.639818,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=98324B;waves=1.23;heur=8;rank=1;searched=8;fast_accum=0,1830
glm52,6144,16384,2,fp8,B2B,36.0711,2792.280,0.698070,algo_id=66;tile=320x8(514);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=147472B;waves=0.26;heur=8;rank=8;searched=8;fast_accum=0,1830
glm52,6144,16384,2,fp8,ISO,50.5280,1993.363,0.498341,algo_id=66;tile=320x8(514);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=147472B;waves=0.26;heur=8;rank=8;searched=8;fast_accum=0,1830
glm52,6144,16384,2,bf16,B2B,62.4153,3227.435,0.806859,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=196628B;waves=1.23;heur=8;rank=1;searched=8;fast_accum=0,1830
glm52,6144,16384,2,bf16,ISO,79.0400,2548.599,0.637150,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=196628B;waves=1.23;heur=8;rank=1;searched=8;fast_accum=0,1830
